CMS Code,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H3146-001,Aetna Medicare Signature (HMO),2027,Ambulance (air),20% coinsurance,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Ambulance (ground),$310 copay,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Annual physical exam,$0 copay for an annual routine physical exam.,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Dental - allowance,"$0 - 50% cost share. Our plan pays for preventive dental services and $1,500 every year for comprehensive dental services. You must use the Aetna Dental PPO Network.",CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Durable medical equipment,20% coinsurance,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Emergency room,$130 copay,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Fitness,Physical fitness program: Basic SilverSneakers® membership.,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Hearing - routine exam,$0 copay (one exam every year) Appointments must be scheduled through NationsHearing®.,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Hearing aids,"Our plan pays $1,250 per ear every year for hearing aids. Hearing aids must be purchased through NationsHearing®. $35 copay",CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Inpatient hospital,"$408 per day, days 1-6; $0 per day, days 7-90; $0 for additional days. Our plan covers unlimited hospital days.",CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Lab services,$0 - $35 copay Lower cost sharing is for services provided by your primary care provider in their office. $0 copay for certain lab services,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Max out-of-pocket,"$5,500",CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
H3146-001,Aetna Medicare Signature (HMO),2027,Medical deductible,$0,CMS,Aetna 2027 Plan Guide (CMS-approved),2026-09-03,"Aetna 2027 Plan Guide (PG27-NC01/NC02/NCC01/NCS01), CMS-approved material ID Y0001_8915303_2027_M NC01, dated 20260818. Not for distribution prior to 10/01."
