CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Premium,$0.00,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Max out-of-pocket,"$5,500",CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,PCP,$0,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Specialist,$0 - $40,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Telehealth,$0 - $50,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Chiropractic,$15,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Podiatry,$35,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Other professional,$40,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Inpatient hospital,$382 days 1-8 / $0 days 9-90,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Inpatient psychiatric,$292 days 1-8 / $0 days 9-90,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Skilled nursing facility,$10 days 1-20 / $218 days 21-100,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Home health,$140,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Hospice,$0,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Outpatient hospital,$0 - $200,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Outpatient surgery (ASC),$0 - $300,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Outpatient surgery (hospital),20%,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Observation services,$0 - $35,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Emergency room,$130,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Urgent care,$50,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Ambulance (ground),$0 - $382,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Ambulance (air),$382,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Transportation,$0 - $332,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Lab services,$275,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Diagnostic radiology,20%,CMS,,,
H3146-001,Aetna,Aetna Medicare Signature (HMO),2026,Renal dialysis,20%,CMS,,,
