CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Premium,$35.00,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Max out-of-pocket,"$6,300.00",CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,PCP,$0,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Specialist,$20,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Telehealth,$0 - $20,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Chiropractic,$15,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Podiatry,$10,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Other professional,$10,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Inpatient hospital,$350 days 1-6 / $0 days 7-90,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Inpatient psychiatric,$350 days 1-5 / $0 days 6-90,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Skilled nursing facility,$0 days 1-20 / $218 days 21-100,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Home health,$60,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Hospice,$0,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Outpatient hospital,$0 - $25,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Outpatient surgery (ASC),$0 - $300,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Outpatient surgery (hospital),$0 - $60,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Observation services,$0 - $5,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Emergency room,$130,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Urgent care,$50,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Ambulance (ground),$0 - $335,CMS,,,
H3404-003-001,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Ambulance (air),$335,CMS,,,
