CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Premium,$0.00,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Premium,$0.00,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Medical deductible,$0,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Max out-of-pocket,"$3,600",CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Max out-of-pocket,"$4,050",FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,PCP,$0 copay,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Specialist,$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Specialist,$25 copay,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Referrals,No,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Telehealth,$0 - $45,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Chiropractic,$20,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Podiatry,$25 - $50,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Other professional,$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Inpatient hospital,$295 days 1-5 / $0 days 6-90,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Inpatient hospital,"$295 per day for days 1-5, $0 days 6+",FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Inpatient psychiatric,$295 days 1-5 / $0 days 6-90,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Skilled nursing facility,$0 days 1-20 / $218 days 21-100,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Home health,$60,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Outpatient hospital,$0 - $95,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Outpatient surgery (ASC),$0 - $300,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Outpatient surgery (ASC),$295-$395 copay,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Outpatient surgery (hospital),20%,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Observation services,$0 - $20,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Emergency room,$150,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Emergency room,$150 copay,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Urgent care,$0 - $45,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Ambulance (ground),$0 - $395,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Ambulance (air),$295,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Transportation,$0 - $295,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Lab services,$0 - $315,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Lab services,$0 copay,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Diagnostic radiology,20%,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Renal dialysis,20%,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Durable medical equipment,20% - 50%,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Prosthetics,0% - 20%,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Diabetic supplies,0% - 50%,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Physical therapy,$0 - $25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Occupational therapy,$25 - $50,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Cardiac rehab,$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Pulmonary rehab,$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Mental health (individual),$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Mental health (group),$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Substance abuse (individual),$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Partial hospitalization,$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Wellness programs,$150 per year,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Rx deductible,"$395 (tiers 1,2 exempt)",CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Rx deductible,$650 tiers 3-5,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Rx retail (30-day),$0 / $5 / 25% / 25% / 26%,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Dental - allowance,"$1,500 per year",CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Dental - allowance,"$2,250 per year (Direct member reimbursement)",FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Dental - preventive,$25,CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Vision - eyeglasses,$300 per year,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,Hearing aids,$399 - $699 (2 per year),CMS,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2027,Hearing aids,$399-$699 copay per aid,FL,,,
H5299-001-000,Devoted,DEVOTED CORE 001 NC (HMO),2026,OTC allowance,$50 per visit,CMS,,,
