CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Premium,$0.00,FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Part B giveback,$115.00,FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Medical deductible,No deductible,FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Max out-of-pocket,"$6,750",CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Max out-of-pocket,"$6,750",FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,PCP,$0,FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Specialist,$50,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Specialist,$50,FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Telehealth,$0 - $50,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Chiropractic,$15,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Podiatry,$45,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Other professional,$50,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Inpatient hospital,$300 days 1-7 / $0 days 8-90,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Inpatient hospital,$300 per day for days 1-7; $0 per day for days 8-90,FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Inpatient psychiatric,$595 days 1-3 / $0 days 4-90,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Skilled nursing facility,$10 days 1-20 / $218 days 21-60,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Home health,$140,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Outpatient hospital,$0 - $95,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Outpatient surgery (ASC),$0 - $195,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Outpatient surgery (ASC),$0 - $280,FL,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Outpatient surgery (hospital),20%,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Observation services,$0 - $50,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Emergency room,$130,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Urgent care,$50,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Ambulance (ground),$0 - $300,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Ambulance (air),$300,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2026,Transportation,$0 - $280,CMS,,,
H9725-005-000,Healthspring,HealthSpring Courage (HMO),2027,Transportation,Not included,FL,,,
