CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Premium,$36.20,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Medical deductible,$0 combined INN/OON,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Max out-of-pocket,"$9,250.00",CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Max out-of-pocket,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,PCP,0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,PCP,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Specialist,0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Specialist,$0; no referral required,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Telehealth,$0,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Chiropractic,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Podiatry,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Other professional,$0,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Inpatient hospital,$0 per stay; unlimited days,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Home health,$55,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Hospice,$0,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Outpatient hospital,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Outpatient hospital,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Outpatient surgery (ASC),0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Outpatient surgery (ASC),$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Outpatient surgery (hospital),20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Observation services,$0,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Emergency room,$115,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Emergency room,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Urgent care,$0 - $40,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Urgent care,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Ambulance (ground),0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Ambulance (ground),$0 ground/air,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Ambulance (air),20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Transportation,0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Lab services,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Lab services,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Diagnostic radiology,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Diagnostic radiology,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,X-ray,$0,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Renal dialysis,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Durable medical equipment,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Prosthetics,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Diabetic supplies,$0,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Physical therapy,0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Occupational therapy,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Cardiac rehab,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Pulmonary rehab,20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Mental health (individual),0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Mental health (group),20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Substance abuse (individual),0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Partial hospitalization,0% - 20%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Annual physical exam,0% - 40%,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Preventive services,$0,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Wellness programs,$0,CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Rx deductible,$615 (tiers 1 exempt),CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Rx deductible,$0 T1; $700 T2-5; $0 with LIS,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Rx retail (30-day),$0 T1; other drugs vary by LIS,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Rx mail (100-day),$0 T1; other drugs vary by LIS,FL,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2026,Dental - allowance,"$2,000 per year",CMS,,,
H1889-005-000,UHC,UHC Dual Complete NC-Q1,2027,Dental - allowance,"$2,000 toward covered services; $0 all covered services",FL,,,
