CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Premium,$4.70,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Benefit type,Actuarially Equivalent,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Number of tiers,5,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Insulin tiers,"3,4",CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 1 (preferred generic) — Long-term care,$10,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 1 (preferred generic) — Mail 90-day,$30,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 1 (preferred generic) — Mail 90-day (preferred),$0,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 1 (preferred generic) — Out of network,$10,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 1 (preferred generic) — Retail 30-day (standard),$10,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 1 (preferred generic) — Retail 90-day (standard),$30,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 2 (generic) — Long-term care,$20,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 2 (generic) — Mail 90-day,$60,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 2 (generic) — Mail 90-day (preferred),$30,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 2 (generic) — Out of network,$20,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 2 (generic) — Retail 30-day (standard),$20,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 2 (generic) — Retail 90-day (standard),$60,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 3 (preferred brand) — Long-term care,25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 3 (preferred brand) — Mail 90-day,25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 3 (preferred brand) — Mail 90-day (preferred),25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 3 (preferred brand) — Out of network,25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 3 (preferred brand) — Retail 30-day (standard),25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 3 (preferred brand) — Retail 90-day (standard),25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 4 (non-preferred) — Long-term care,29%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 4 (non-preferred) — Mail 90-day,29%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 4 (non-preferred) — Mail 90-day (preferred),27%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 4 (non-preferred) — Out of network,29%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 4 (non-preferred) — Retail 30-day (standard),29%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 4 (non-preferred) — Retail 90-day (standard),29%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 5 (specialty) — Long-term care,25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 5 (specialty) — Out of network,25%,CMS,,,
S4802-081-000,Wellcare,Wellcare Classic (PDP),2026,Tier 5 (specialty) — Retail 30-day (standard),25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Premium,$3.60,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Benefit type,Enhanced Alternative,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Number of tiers,6,CMS,,,
